store_id,sale_id,product_id,sale_date,quantity,total_amount,store_region,store_size,open_date,year,sale_per_sq_ft
5,sale_420,6,2022-07-16,37,295.1,North,2606.2,2002-06-09,2022,0.11
4,sale_755,49,2021-05-04,12,505.45,West,4942,2016-08-12,2021,0.1
20,sale_576,33,2021-02-07,2,89.61,North,4867,2019-11-25,2021,0.02
19,sale_845,24,2020-06-16,97,2289.33,North,2606.2,2018-10-12,2020,0.88
18,sale_999,11,2020-03-08,63,810.25,West,1191,2016-01-23,2020,0.68
5,sale_364,5,2021-10-02,63,2923.55,North,2606.2,2002-06-09,2021,1.12
11,sale_228,37,2021-11-27,37,394.83,East,2606.2,2018-04-22,2021,0.15
5,sale_717,37,2020-02-05,66,2603.03,North,2606.2,2002-06-09,2020,1
9,sale_2,43,2021-03-15,100,4549.74,North,3653,2018-12-24,2021,1.25
13,sale_33,50,2022-05-02,67,1882.4,West,2606.2,2009-10-03,2022,0.72
16,sale_257,36,2020-12-03,52,2280.28,East,2606.2,2003-10-01,2020,0.87
14,sale_366,33,2020-02-20,25,454.06,North,1116,2003-06-30,2020,0.41
17,sale_573,44,2020-09-12,59,368.61,East,2606.2,2010-09-23,2020,0.14
3,sale_360,44,2021-04-08,75,1365.57,West,4989,2000-08-23,2021,0.27
16,sale_699,12,2020-01-12,8,266.78,East,2606.2,2003-10-01,2020,0.1
20,sale_919,1,2020-03-20,81,1170.9,North,4867,2019-11-25,2020,0.24
13,sale_979,8,2021-07-19,95,1854.39,West,2606.2,2009-10-03,2021,0.71
20,sale_19,49,2022-11-10,71,356.18,North,4867,2019-11-25,2022,0.07
14,sale_70,29,2020-01-28,69,3318.4,North,1116,2003-06-30,2020,2.97
10,sale_529,5,2022-06-23,76,2151.54,East,2606.2,2006-01-18,2022,0.83
17,sale_577,5,2020-06-22,86,890.78,East,2606.2,2010-09-23,2020,0.34
19,sale_729,14,2022-07-21,81,2133.3,North,2606.2,2018-10-12,2022,0.82
4,sale_340,50,2022-09-11,8,144.18,West,4942,2016-08-12,2022,0.03
7,sale_859,27,2020-09-10,19,590.61,North,2606.2,2005-07-19,2020,0.23
11,sale_928,24,2021-05-05,70,1472.73,East,2606.2,2018-04-22,2021,0.57
20,sale_153,3,2021-07-09,66,1880.37,North,4867,2019-11-25,2021,0.39
13,sale_235,10,2021-12-25,72,2744.13,West,2606.2,2009-10-03,2021,1.05
17,sale_804,49,2022-06-12,65,541.76,East,2606.2,2010-09-23,2022,0.21
9,sale_927,11,2020-03-12,45,772.76,North,3653,2018-12-24,2020,0.21
19,sale_401,34,2023-01-01,35,692.42,North,2606.2,2018-10-12,2023,0.27
9,sale_532,46,2021-12-17,99,3858.85,North,3653,2018-12-24,2021,1.06
2,sale_787,6,2022-05-15,30,364.82,West,1510,2009-07-07,2022,0.24
5,sale_929,40,2022-05-30,17,736.31,North,2606.2,2002-06-09,2022,0.28
10,sale_86,42,2022-05-16,80,2937.42,East,2606.2,2006-01-18,2022,1.13
11,sale_107,44,2020-02-29,66,1564.01,East,2606.2,2018-04-22,2020,0.6
5,sale_581,8,2020-01-25,77,2400.9,North,2606.2,2002-06-09,2020,0.92
7,sale_135,50,2020-11-25,13,559.52,North,2606.2,2005-07-19,2020,0.21
13,sale_508,23,2022-02-13,100,2999.36,West,2606.2,2009-10-03,2022,1.15
3,sale_675,14,2022-01-11,65,2556.42,West,4989,2000-08-23,2022,0.51
20,sale_854,13,2021-12-24,81,1845.44,North,4867,2019-11-25,2021,0.38
9,sale_530,30,2020-08-25,27,1026.7,North,3653,2018-12-24,2020,0.28
11,sale_592,21,2022-05-29,42,2007.06,East,2606.2,2018-04-22,2022,0.77
16,sale_361,48,2021-05-22,14,634.2,East,2606.2,2003-10-01,2021,0.24
18,sale_68,19,2021-11-27,50,2388.6,West,1191,2016-01-23,2021,2.01
11,sale_74,43,2021-07-01,78,3199.99,East,2606.2,2018-04-22,2021,1.23
9,sale_136,33,2021-11-05,4,136.43,North,3653,2018-12-24,2021,0.04
3,sale_78,8,2022-05-06,19,900.05,West,4989,2000-08-23,2022,0.18
2,sale_416,48,2021-10-18,62,1787.89,West,1510,2009-07-07,2021,1.18
